"","long","lat","survivors","direction","group","date"
"1",24,54.9,340000,"A",1,"1812/06/24"
"2",24.5,55,340000,"A",1,"1812/06/25"
"3",25.5,54.5,340000,"A",1,"1812/06/28"
"4",26,54.7,320000,"A",1,"1812/07/02"
"5",27,54.8,300000,"A",1,"1812/07/10"
"6",28,54.9,280000,"A",1,"1812/07/18"
"7",28.5,55,240000,"A",1,"1812/07/22"
"8",29,55.1,210000,"A",1,"1812/07/25"
"9",30,55.2,180000,"A",1,"1812/08/02"
"10",30.3,55.3,175000,"A",1,"1812/08/05"
"11",32,54.8,145000,"A",1,"1812/08/18"
"12",33.2,54.9,140000,"A",1,"1812/08/25"
"13",34.4,55.5,127100,"A",1,"1812/09/01"
"14",35.5,55.4,100000,"A",1,"1812/09/07"
"15",36,55.5,100000,"A",1,"1812/09/09"
"16",37.6,55.8,100000,"A",1,"1812/09/14"
"17",37.7,55.7,100000,"R",1,"1812/10/18"
"18",37.5,55.7,98000,"R",1,"1812/10/19"
"19",37,55,97000,"R",1,"1812/10/24"
"20",36.8,55,96000,"R",1,"1812/10/25"
"21",35.4,55.3,87000,"R",1,"1812/10/30"
"22",34.3,55.2,55000,"R",1,"1812/11/03"
"23",33.3,54.8,37000,"R",1,"1812/11/09"
"24",32,54.6,24000,"R",1,"1812/11/14"
"25",30.4,54.4,20000,"R",1,"1812/11/21"
"26",29.2,54.3,20000,"R",1,"1812/11/24"
"27",28.5,54.2,20000,"R",1,"1812/11/28"
"28",28.3,54.3,20000,"R",1,"1812/11/29"
"29",27.5,54.5,20000,"R",1,"1812/12/01"
"30",26.8,54.3,14000,"R",1,"1812/12/06"
"31",26.4,54.4,14000,"R",1,"1812/12/07"
"32",25,54.4,8000,"R",1,"1812/12/08"
"33",24.4,54.4,4000,"R",1,"1812/12/09"
"34",24.2,54.4,4000,"R",1,"1812/12/12"
"35",24.1,54.4,4000,"R",1,"1812/12/14"
"36",24,55.1,60000,"A",2,"1812/06/24"
"37",24.5,55.2,60000,"A",2,"1812/06/25"
"38",25.5,54.7,60000,"A",2,"1812/06/26"
"39",26.6,55.7,40000,"A",2,"1812/08/02"
"40",27.4,55.6,33000,"A",2,"1812/08/18"
"41",28.7,55.5,33000,"A",2,"1812/08/19"
"42",28.7,55.5,33000,"R",2,"1812/10/20"
"43",29.2,54.2,30000,"R",2,"1812/11/24"
"44",28.5,54.1,30000,"R",2,"1812/11/28"
"45",28.3,54.2,28000,"R",2,"1812/11/29"
"46",24,55.2,22000,"A",3,"1812/06/24"
"47",24.5,55.3,22000,"A",3,"1812/06/26"
"48",24.6,55.8,6000,"A",3,"1812/07/02"
"49",24.6,55.8,6000,"R",3,"1812/11/14"
"50",24.2,54.4,6000,"R",3,"1812/11/30"
"51",24.1,54.4,6000,"R",3,"1812/12/14"
